sample_index,timestamp_sec,raw,voltage_v
121171,7.5731875,-29854,0.0
121172,7.57325,-29850,0.0
121173,7.5733125,-29850,0.0
121174,7.573375,-29853,0.0
121175,7.5734375,-29855,0.0
121176,7.5735,-29854,0.0
121177,7.5735625,-29852,0.0
121178,7.573625,-29858,0.0
121179,7.5736875,-29857,0.0
121180,7.57375,-29853,0.0
121181,7.5738125,-29855,0.0
121182,7.573875,-29857,0.0
121183,7.5739375,-29853,0.0
121184,7.574,-29854,0.0
121185,7.5740625,-29857,0.0
121186,7.574125,-29854,0.0
121187,7.5741875,-29852,0.0
121188,7.57425,-29852,0.0
121189,7.5743125,-29849,0.0
121190,7.574375,-29856,0.0
121191,7.5744375,-29856,0.0
121192,7.5745,-29856,0.0
121193,7.5745625,-29852,0.0
121194,7.574625,-29856,0.0
121195,7.5746875,-29858,0.0
121196,7.57475,-29856,0.0
121197,7.5748125,-29854,0.0
121198,7.574875,-29858,0.0
121199,7.5749375,-29854,0.0
121200,7.575,-29850,0.0
121201,7.5750625,-29849,0.0
121202,7.575125,-29850,0.0
121203,7.5751875,-29847,0.0
121204,7.57525,-29849,0.0
121205,7.5753125,-29852,0.0
121206,7.575375,-29854,0.0
121207,7.5754375,-29851,0.0
121208,7.5755,-29849,0.0
121209,7.5755625,-29847,0.0
121210,7.575625,-29848,0.0
121211,7.5756875,-29853,0.0
121212,7.57575,-29857,0.0
121213,7.5758125,-29852,0.0
121214,7.575875,-29852,0.0
121215,7.5759375,-29853,0.0
121216,7.576,-29854,0.0
121217,7.5760625,-29851,0.0
121218,7.576125,-29854,0.0
121219,7.5761875,-29851,0.0
121220,7.57625,-29848,0.0
121221,7.5763125,-29850,0.0
121222,7.576375,-29850,0.0
121223,7.5764375,-29849,0.0
121224,7.5765,-29847,0.0
121225,7.5765625,-29852,0.0
121226,7.576625,-29856,0.0
121227,7.5766875,-29855,0.0
121228,7.57675,-29854,0.0
121229,7.5768125,-29848,0.0
121230,7.576875,-29850,0.0
121231,7.5769375,-29851,0.0
121232,7.577,-29851,0.0
121233,7.5770625,-29847,0.0
121234,7.577125,-29852,0.0
121235,7.5771875,-29852,0.0
121236,7.57725,-29851,0.0
121237,7.5773125,-29856,0.0
121238,7.577375,-29859,0.0
121239,7.5774375,-29852,0.0
121240,7.5775,-29853,0.0
121241,7.5775625,-29858,0.0
121242,7.577625,-29857,0.0
121243,7.5776875,-29856,0.0
121244,7.57775,-29857,0.0
121245,7.5778125,-29860,0.0
121246,7.577875,-29856,0.0
121247,7.5779375,-29855,0.0
121248,7.578,-29859,0.0
121249,7.5780625,-29861,0.0
121250,7.578125,-29857,0.0
121251,7.5781875,-29861,0.0
121252,7.57825,-29861,0.0
121253,7.5783125,-29863,0.0
121254,7.578375,-29864,0.0
121255,7.5784375,-29858,0.0
121256,7.5785,-29857,0.0
121257,7.5785625,-29856,0.0
121258,7.578625,-29858,0.0
121259,7.5786875,-29866,0.0
121260,7.57875,-29860,0.0
121261,7.5788125,-29861,0.0
121262,7.578875,-29860,0.0
121263,7.5789375,-29861,0.0
121264,7.579,-29864,0.0
121265,7.5790625,-29861,0.0
121266,7.579125,-29857,0.0
121267,7.5791875,-29854,0.0
121268,7.57925,-29851,0.0
121269,7.5793125,-29852,0.0
121270,7.579375,-29855,0.0
121271,7.5794375,-29849,0.0
121272,7.5795,-29849,0.0
121273,7.5795625,-29850,0.0
121274,7.579625,-29850,0.0
121275,7.5796875,-29851,0.0
121276,7.57975,-29852,0.0
121277,7.5798125,-29850,0.0
121278,7.579875,-29849,0.0
121279,7.5799375,-29851,0.0
121280,7.58,-29854,0.0
121281,7.5800625,-29858,0.0
121282,7.580125,-29853,0.0
121283,7.5801875,-29858,0.0
121284,7.58025,-29857,0.0
121285,7.5803125,-29856,0.0
121286,7.580375,-29857,0.0
121287,7.5804375,-29851,0.0
121288,7.5805,-29849,0.0
121289,7.5805625,-29854,0.0
121290,7.580625,-29852,0.0
121291,7.5806875,-29858,0.0
121292,7.58075,-29860,0.0
121293,7.5808125,-29857,0.0
121294,7.580875,-29861,0.0
121295,7.5809375,-29866,0.0
121296,7.581,-29863,0.0
121297,7.5810625,-29858,0.0
121298,7.581125,-29861,0.0
121299,7.5811875,-29862,0.0
121300,7.58125,-29860,0.0
121301,7.5813125,-29858,0.0
121302,7.581375,-29858,0.0
121303,7.5814375,-29857,0.0
121304,7.5815,-29848,0.0
121305,7.5815625,-29852,0.0
121306,7.581625,-29852,0.0
121307,7.5816875,-29851,0.0
121308,7.58175,-29855,0.0
121309,7.5818125,-29853,0.0
121310,7.581875,-29853,0.0
121311,7.5819375,-29858,0.0
121312,7.582,-29853,0.0
121313,7.5820625,-29857,0.0
121314,7.582125,-29861,0.0
121315,7.5821875,-29863,0.0
121316,7.58225,-29866,0.0
121317,7.5823125,-29862,0.0
121318,7.582375,-29862,0.0
121319,7.5824375,-29863,0.0
121320,7.5825,-29863,0.0
121321,7.5825625,-29864,0.0
121322,7.582625,-29867,0.0
121323,7.5826875,-29862,0.0
121324,7.58275,-29857,0.0
121325,7.5828125,-29859,0.0
121326,7.582875,-29860,0.0
121327,7.5829375,-29861,0.0
121328,7.583,-29865,0.0
121329,7.5830625,-29865,0.0
121330,7.583125,-29862,0.0
121331,7.5831875,-29857,0.0
121332,7.58325,-29853,0.0
121333,7.5833125,-29862,0.0
121334,7.583375,-29863,0.0
121335,7.5834375,-29858,0.0
121336,7.5835,-29857,0.0
121337,7.5835625,-29862,0.0
121338,7.583625,-29860,0.0
121339,7.5836875,-29858,0.0
121340,7.58375,-29856,0.0
121341,7.5838125,-29861,0.0
121342,7.583875,-29859,0.0
121343,7.5839375,-29859,0.0
121344,7.584,-29868,0.0
121345,7.5840625,-29865,0.0
121346,7.584125,-29861,0.0
121347,7.5841875,-29858,0.0
